,user_ids
877,B-3677-2008
878,O-8277-2018
879,E-4030-2012
880,B-2659-2009
881,W-3926-2017
882,G-3388-2013
883,E-3676-2013
884,O-8254-2018
885,M-7203-2015
886,D-4812-2012
887,A-5024-2015
888,N-9462-2017
889,C-5012-2015
890,B-5097-2012
891,A-4843-2017
892,C-3284-2018
893,D-1085-2010
894,L-8423-2017
895,H-3418-2013
896,O-5625-2014
897,J-2159-2016
898,G-7618-2012
899,A-5895-2011
900,B-7143-2015
901,K-9165-2014
902,D-1528-2011
903,H-8069-2018
904,H-6583-2017
905,H-6230-2016
906,H-5285-2017
907,B-6985-2017
908,S-7840-2017
909,D-7791-2013
910,D-9442-2017
911,O-8019-2016
912,U-2863-2017
913,N-8021-2018
914,N-8802-2015
915,L-1629-2013
916,J-8338-2017
917,G-8378-2011
918,A-6412-2014
919,G-3230-2015
920,I-1351-2012
921,B-6534-2013
922,E-2619-2011
923,Q-6071-2017
924,W-5124-2017
925,K-1440-2015
926,A-2749-2011
927,F-5335-2018
928,B-6970-2013
929,B-8775-2013
930,A-2106-2015
931,L-6254-2013
932,G-5263-2014
933,D-1110-2011
934,A-8058-2009
935,K-9972-2015
936,D-3122-2015
937,D-8288-2014
938,J-3654-2014
939,B-8048-2013
940,B-5304-2010
941,C-3728-2009
942,K-4613-2017
943,J-6386-2013
944,E-9051-2011
945,F-1547-2011
946,A-4257-2009
947,C-1945-2013
948,N-4358-2018
949,B-5928-2015
950,D-5380-2013
951,H-6472-2016
952,D-4937-2013
953,H-5464-2011
954,D-6008-2012
955,F-7508-2010
956,D-3480-2009
957,G-1329-2015
958,U-9296-2017
959,J-2805-2015
960,F-6412-2015
961,B-4121-2016
962,D-3565-2013
963,B-6603-2008
964,A-1285-2007
965,H-9639-2016
966,U-5363-2017
967,K-1971-2014
968,L-2000-2017
969,D-3894-2012
970,A-3003-2011
971,D-3390-2018
972,C-4432-2008
973,K-7998-2014
974,H-6527-2016
975,B-7203-2008
976,G-6535-2013
977,L-5185-2016
978,S-6518-2016
979,P-4453-2016
980,M-8353-2017
981,O-7805-2017
982,G-1512-2010
983,P-5730-2017
984,J-9276-2014
985,O-2480-2016
986,F-4342-2015
987,N-1446-2017
988,A-8352-2009
989,T-4203-2017
990,B-9864-2012
991,J-6061-2014
992,J-8292-2014
993,M-2918-2014
994,A-3294-2013
995,M-6297-2013
996,H-3748-2013
997,K-4085-2013
998,C-4565-2014
999,E-4924-2015
1000,G-6029-2014
1001,E-2593-2013
1002,L-8556-2018
1003,N-3920-2018
1004,A-4346-2008
1005,F-8079-2013
1006,D-4374-2017
1007,E-6172-2017
1008,H-4894-2014
1009,B-4504-2015
1010,E-2935-2017
1011,M-7982-2014
1012,O-9413-2014
1013,G-4874-2012
1014,P-3644-2016
1015,F-8905-2012
1016,A-2920-2008
1017,E-4614-2013
1018,E-8747-2010
1019,A-8845-2014
1020,G-8709-2013
1021,L-1506-2013
1022,I-1412-2014
1023,G-6664-2015
1024,R-5456-2017
1025,G-7856-2011
1026,G-3111-2011
1027,E-6559-2012
1028,H-7295-2015
1029,L-9939-2018
1030,D-2423-2009
1031,G-5442-2016
1032,A-6828-2009
1033,D-5357-2016
1034,A-2867-2008
1035,G-7558-2015
1036,G-2090-2018
